Season,Date,DAP,Rain,Tmax,Tmin,Tmean,cum_GDD,IRRAD,Cumulative_Radiation
2025,2025-06-01,25,0,19.728,9.747,16.6808166666667,318.562922916667,15.477618,557.59500012
2025,2025-06-02,26,0.13,19.923,6.731,13.9005673611111,330.463490277778,21.81881436,579.41381448
2025,2025-06-03,27,0.04,22.529,6.301,15.8932652777778,344.356755555556,20.82376218,600.23757666
2025,2025-06-04,28,0.74,19.111,8.248,14.7996902777778,357.156445833333,13.95021888,614.18779554
2025,2025-06-05,29,7.28999999999999,18.389,8.668,14.4480173611111,369.604463194445,13.2349263,627.42272184
2025,2025-06-06,30,4.06,20.333,12.419,15.5938381944444,383.198301388889,18.3418374,645.76455924
2025,2025-06-07,31,9.15999999999998,18.011,11.164,13.7669583333333,394.965259722222,13.78334454,659.54790378
2025,2025-06-08,32,5.70999999999999,15.125,8.269,12.3790166666667,405.344276388889,17.10239574,676.65029952
2025,2025-06-09,33,1.06,19.291,9.872,14.5265527777778,417.870829166667,19.61382594,696.26412546
2025,2025-06-10,34,2.61,18.619,8.066,13.9390722222222,429.809901388889,12.13676202,708.40088748
2025,2025-06-11,35,0,21.242,4.332,14.2617347222222,442.071636111111,28.35714558,736.75803306
2025,2025-06-12,36,0,27.55,10.96,20.3938847222222,460.465520833333,29.9135532,766.67158626
2025,2025-06-13,37,0,31.911,17.491,25.2096284722222,483.675149305556,28.016886,794.68847226
2025,2025-06-14,38,1.53,28.219,16.2,23.0776993055555,504.752848611111,17.75303874,812.441511
2025,2025-06-15,39,0,22.525,10.851,17.5967416666667,520.349590277778,23.66547684,836.10698784
2025,2025-06-16,40,0,23.554,10.112,17.2933645833333,535.642954861111,25.01457444,861.12156228
2025,2025-06-17,41,0.42,25.743,8.012,17.9834395833333,551.626394444444,28.20896754,889.33052982
2025,2025-06-18,42,0,26.874,9.088,19.1548347222222,568.781229166667,29.08963536,918.42016518
2025,2025-06-19,43,0,24.611,10.082,18.3182472222222,585.099476388889,28.90137438,947.32153956
2025,2025-06-20,44,0,26,10.036,18.8958583333333,601.995334722222,29.90505276,977.22659232
2025,2025-06-21,45,0,30.376,9.441,21.3334743055555,621.328809027778,30.42259002,1007.64918234
2025,2025-06-22,46,0.1,28.93,14.117,22.0716701388889,641.400479166667,18.9495942,1026.59877654
2025,2025-06-23,47,0.42,20.64,15.532,18.2876909722222,657.688170138889,22.48033806,1049.0791146
